age,gender,city_tier,marital_status,dependents,education,occupation,years_experience,employer_type,job_switches,monthly_salary,monthly_expenses,disposable_income,income_volatility,savings_balance,existing_investments,bank_relationship_years,credit_score,credit_history_length_years,num_credit_cards,total_credit_limit,credit_card_outstanding,credit_utilization_ratio,existing_loans_count,existing_emi,past_defaults,late_payments_last_12m,loan_purpose,requested_loan_amount,loan_tenure_months,interest_rate_pct,emi,collateral_available,co_applicant,emi_to_income_ratio,loan_to_income_ratio,total_debt_to_income_ratio,expense_to_income_ratio,disposable_income_after_loan,savings_to_loan_ratio,debt_burden_score,delinquency_score,income_stability_score,employment_tenure_ratio,credit_maturity_score,loan_amount_to_salary_multiple,has_collateral_flag,has_co_applicant_flag,default
35,Female,Tier-3,Married,1,Diploma,Salaried - Private,11,Large Domestic Co.,1,19500.0,10700.0,8800.0,0.122,115200.0,52500.0,14,646,14,1,79000.0,38100.0,0.482,3,5400.0,2,1,Vehicle,173000.0,60,10.88,3751.0,1,0,0.469,0.739,0.528,0.549,-351.0,0.666,0.499,5,0.769,11.0,0.7,8.9,1,0,0
43,Female,Tier-2,Single,0,Bachelor's,Salaried - Government,20,Government,3,32700.0,10300.0,22400.0,0.02,701000.0,364800.0,20,731,20,3,73000.0,11600.0,0.159,2,5700.0,1,1,Vehicle,351000.0,36,8.65,11105.0,1,1,0.514,0.894,0.525,0.315,5595.0,1.997,0.385,3,0.988,6.67,0.786,10.7,1,1,0
31,Male,Tier-1,Married,2,Bachelor's,Salaried - Government,12,Government,3,34800.0,11900.0,22900.0,0.114,484100.0,13900.0,11,682,10,2,150000.0,51000.0,0.34,0,0.0,0,0,Personal,126000.0,24,13.95,6047.0,0,0,0.174,0.302,0.218,0.342,16853.0,3.842,0.189,0,0.764,4.0,0.619,3.6,0,0,0
33,Male,Tier-3,Married,3,PhD/Professional,Gig/Freelance,11,Not Applicable,5,51200.0,21800.0,29400.0,0.629,317800.0,78300.0,14,597,14,2,94000.0,53800.0,0.572,2,7000.0,0,0,Business Expansion,703000.0,84,14.77,13475.0,0,1,0.4,1.144,0.431,0.426,8925.0,0.452,0.452,0,0.465,2.2,0.7,13.7,0,1,0
46,Male,Tier-3,Single,1,Bachelor's,Salaried - Government,23,Government,4,38900.0,15500.0,23400.0,0.033,813600.0,276300.0,23,685,22,1,53000.0,23100.0,0.436,1,2200.0,0,0,Vehicle,382000.0,36,10.24,12369.0,1,1,0.375,0.818,0.392,0.398,8831.0,2.13,0.358,0,0.98,5.75,0.81,9.8,1,1,0
25,Female,Tier-3,Married,2,Diploma,Salaried - Private,0,MNC,0,13300.0,6900.0,6400.0,0.076,0.0,0.0,3,486,3,3,84000.0,43000.0,0.512,0,0.0,1,1,Vehicle,137000.0,36,11.84,4540.0,1,0,0.341,0.858,0.438,0.519,1860.0,0.0,0.324,3,0.577,0.0,0.358,10.3,1,0,0
39,Male,Tier-1,Married,0,Bachelor's,Salaried - PSU,17,MNC,4,106400.0,43000.0,63400.0,0.057,1432600.0,457500.0,15,620,15,0,0.0,0.0,0.0,0,0.0,0,1,Home,2867000.0,120,9.35,36863.0,1,0,0.346,2.245,0.346,0.404,26537.0,0.5,0.173,1,0.891,4.25,0.716,26.9,1,0,0
43,Male,Tier-1,Married,1,High School,Salaried - Government,25,Government,5,34900.0,11900.0,23000.0,0.107,849300.0,206900.0,21,653,21,2,141000.0,34900.0,0.248,0,0.0,0,0,Home,1879000.0,240,9.67,17724.0,1,0,0.508,4.487,0.538,0.341,5276.0,0.452,0.328,0,0.936,5.0,0.798,53.8,1,0,0
44,Male,Tier-2,Divorced,1,High School,Salaried - Private,20,SME,3,21800.0,7100.0,14700.0,0.211,301200.0,44100.0,23,728,21,0,0.0,0.0,0.0,2,4200.0,0,0,Education,157000.0,60,10.67,3388.0,0,0,0.348,0.6,0.348,0.326,7112.0,1.918,0.254,0,0.873,6.67,0.798,7.2,0,0,0
40,Female,Tier-1,Married,0,Bachelor's,Salaried - Private,16,Large Domestic Co.,5,65400.0,15700.0,49700.0,0.02,587900.0,230800.0,20,629,18,2,64000.0,16900.0,0.264,3,7300.0,1,2,Vehicle,634000.0,84,10.98,10849.0,1,0,0.278,0.808,0.285,0.24,31551.0,0.927,0.338,4,0.938,3.2,0.761,9.7,1,0,0
33,Female,Tier-3,Married,4,Diploma,Salaried - PSU,10,MNC,1,11200.0,5400.0,5800.0,0.113,87500.0,8000.0,13,707,13,2,52000.0,26600.0,0.512,4,2900.0,1,0,Personal,50000.0,36,13.27,1691.0,0,0,0.41,0.372,0.481,0.482,1209.0,1.75,0.519,2,0.755,10.0,0.682,4.5,0,0,0
32,Female,Tier-3,Divorced,0,Diploma,Salaried - Government,11,Government,2,14800.0,4200.0,10600.0,0.02,125300.0,21600.0,8,739,8,2,144000.0,54600.0,0.379,0,0.0,0,0,Home,479000.0,300,8.31,3796.0,1,0,0.256,2.697,0.367,0.284,6804.0,0.262,0.242,0,0.786,5.5,0.568,32.4,1,0,0
36,Male,Tier-2,Married,1,Bachelor's,Salaried - Private,17,MNC,4,52600.0,20300.0,32300.0,0.113,553400.0,28400.0,15,646,14,3,114000.0,44100.0,0.387,2,3700.0,0,1,Personal,237000.0,60,13.82,5492.0,1,0,0.175,0.375,0.2,0.386,23108.0,2.335,0.284,1,0.857,4.25,0.7,4.5,1,0,0
36,Male,Tier-3,Single,1,Bachelor's,Unemployed/Student,0,Not Employed,0,8000.0,3300.0,4700.0,0.809,0.0,0.0,14,522,13,2,107000.0,47800.0,0.447,0,0.0,1,5,Vehicle,96000.0,60,11.84,2128.0,1,0,0.266,1.0,0.445,0.412,2572.0,0.0,0.267,7,0.22,0.0,0.682,12.0,1,0,0
41,Male,Tier-3,Married,3,Bachelor's,Salaried - Government,23,Government,6,16700.0,8700.0,8000.0,0.053,265600.0,50900.0,20,520,19,3,96000.0,44500.0,0.464,0,0.0,0,0,Vehicle,161000.0,48,11.91,4233.0,1,1,0.253,0.803,0.333,0.521,3767.0,1.65,0.266,0,0.968,3.83,0.774,9.6,1,1,0
54,Female,Tier-3,Married,2,High School,Salaried - Private,30,MNC,9,15900.0,6200.0,9700.0,0.127,468300.0,98800.0,34,650,34,2,111000.0,36100.0,0.325,3,3300.0,0,0,Home,520000.0,240,9.1,4712.0,1,1,0.504,2.725,0.572,0.39,1688.0,0.901,0.47,0,0.924,3.33,0.918,32.7,1,1,0
42,Female,Tier-1,Widowed,1,Bachelor's,Salaried - Private,21,MNC,3,77200.0,28100.0,49100.0,0.174,1326700.0,81600.0,20,537,20,3,188000.0,89100.0,0.474,2,7800.0,1,1,Personal,223000.0,24,14.49,10759.0,1,1,0.24,0.241,0.275,0.364,30541.0,5.949,0.342,3,0.896,7.0,0.786,2.9,1,1,0
47,Male,Tier-2,Single,0,PhD/Professional,Salaried - Private,28,MNC,6,71200.0,32300.0,38900.0,0.038,697100.0,416900.0,26,746,26,3,289000.0,89600.0,0.31,2,7100.0,0,1,Personal,269000.0,60,12.88,6104.0,1,0,0.185,0.315,0.223,0.454,25696.0,2.591,0.266,1,0.977,4.67,0.851,3.8,1,0,0
